,Unnamed: 0,date,open,high,low,close,trading_volume,trading_value,code
276291,0,2017-01-02,44750,46000,44600,45800,1547681,70741238750,000660
276292,1,2017-01-03,46200,47300,46200,47250,2655477,124284065200,000660
276293,2,2017-01-04,47000,47150,46200,46500,2722599,127044173970,000660
276294,3,2017-01-05,47000,47500,46850,46950,2377163,112240246450,000660
276295,4,2017-01-06,47700,48450,47600,48000,3166843,152264047270,000660
276296,5,2017-01-09,48500,49750,48200,49550,3871999,191236382800,000660
276297,6,2017-01-10,49850,50200,49200,49750,2561968,127213145450,000660
276298,7,2017-01-11,50000,51900,50000,51600,4360058,223583642680,000660
276299,8,2017-01-12,51600,51600,50400,50600,5060622,256710131000,000660
276300,9,2017-01-13,49850,50700,49850,50300,4219771,211612764000,000660
276301,10,2017-01-16,50100,50300,48800,49300,4974924,245390500600,000660
276302,11,2017-01-17,49300,50200,49250,49300,2309955,114604813700,000660
276303,12,2017-01-18,48950,49400,48300,48850,2974091,144988002700,000660
276304,13,2017-01-19,49550,50100,49100,49600,2332268,115610934220,000660
276305,14,2017-01-20,49700,50100,49150,49150,1943195,96154281550,000660
276306,15,2017-01-23,49950,51000,49900,50800,4148659,209753459500,000660
276307,16,2017-01-24,51300,52000,51100,51600,3449130,177616900100,000660
276308,17,2017-01-25,52200,52500,51600,51700,2715809,141446130200,000660
276309,18,2017-01-26,52500,53500,52400,53300,4517114,239592036100,000660
276310,19,2017-01-31,53300,54500,52700,53700,4118790,221428745900,000660
276311,20,2017-02-01,54300,54900,53700,54000,2813046,152598833420,000660
276312,21,2017-02-02,53500,54000,52700,52800,3486140,185564141500,000660
276313,22,2017-02-03,52500,53700,51800,53700,3718619,196279515060,000660
276314,23,2017-02-06,54200,54400,53300,53700,1897002,102085693100,000660
276315,24,2017-02-07,53800,54500,53100,53300,2405891,129380654500,000660
276316,25,2017-02-08,53700,54600,52400,54600,3552260,190289394500,000660
276317,26,2017-02-09,53100,53700,52500,52700,6547266,347819994300,000660
276318,27,2017-02-10,52000,52200,50000,50000,9120878,465448709400,000660
276319,28,2017-02-13,49550,51000,49500,50700,4124290,208281404650,000660
276320,29,2017-02-14,51100,51600,48100,48450,8593878,422149431150,000660
276321,30,2017-02-15,48300,48700,47550,47900,8725221,418959476450,000660
276322,31,2017-02-16,48350,49600,48200,49600,4840918,237306104600,000660
276323,32,2017-02-17,50400,51100,50200,50400,4927937,249569939100,000660
276324,33,2017-02-20,50900,51000,49600,49900,2265276,113363337450,000660
276325,34,2017-02-21,49950,51000,49350,50900,2227708,112329649650,000660
276326,35,2017-02-22,51600,51700,50600,50600,2678429,136898075000,000660
276327,36,2017-02-23,50000,50400,49050,50200,3374139,168173904300,000660
276328,37,2017-02-24,49850,50000,47400,47500,7707747,371299047500,000660
276329,38,2017-02-27,46850,47000,45650,46000,7604699,351359685600,000660
276330,39,2017-02-28,46600,47600,46200,46700,5588155,262884029900,000660
276331,40,2017-03-02,46850,47850,46800,47700,7093071,335246658970,000660
276332,41,2017-03-03,47650,48250,46700,47100,3937032,186640393450,000660
276333,42,2017-03-06,47600,49400,47550,49350,5045970,246487961130,000660
276334,43,2017-03-07,49100,49300,48050,48800,3439908,167476335900,000660
276335,44,2017-03-08,48800,49300,47900,48000,3728263,179925820180,000660
276336,45,2017-03-09,48200,48850,48000,48000,2957372,142837452700,000660
276337,46,2017-03-10,48100,49550,47500,49200,3849912,188167881220,000660
276338,47,2017-03-13,49550,51100,49300,51000,4948062,249891224300,000660
276339,48,2017-03-14,51800,51900,50300,50300,4024138,204683057400,000660
276340,49,2017-03-15,49350,49500,48550,48800,4688787,229711965700,000660
276341,50,2017-03-16,49350,49650,48500,49150,3458839,169451585690,000660
276342,51,2017-03-17,48400,48400,46600,46750,8098258,381153216850,000660
276343,52,2017-03-20,46950,47650,46550,47600,3929405,184851310550,000660
276344,53,2017-03-21,47900,48250,47000,47550,3720816,177516360850,000660
276345,54,2017-03-22,47000,48800,47000,48650,4157526,200269780660,000660
276346,55,2017-03-23,48950,49300,48150,48450,2473925,120261459150,000660
276347,56,2017-03-24,50000,50200,49300,49500,5174622,257342312200,000660
276348,57,2017-03-27,50000,51100,49950,50700,5607032,283731732750,000660
276349,58,2017-03-28,51200,51300,50000,50800,2862493,144900640600,000660
276350,59,2017-03-29,51000,52200,50800,51300,4154277,213972694700,000660
276351,60,2017-03-30,51100,51500,50200,50900,2204243,111737846700,000660
276352,61,2017-03-31,50800,50800,49900,50500,2682196,135004692700,000660
276353,62,2017-04-03,50800,51900,50700,51800,2361892,121772174100,000660
276354,63,2017-04-04,52100,52200,50800,51000,2192884,113279189400,000660
276355,64,2017-04-05,50600,51000,49950,50300,2758658,138832002300,000660
276356,65,2017-04-06,50300,50500,49100,49400,2991825,147941742500,000660
276357,66,2017-04-07,49450,49800,48700,49800,2645476,130596375350,000660
276358,67,2017-04-10,49700,49750,48950,49000,1824895,89822690630,000660
276359,68,2017-04-11,48550,49350,48400,48850,2384127,116511682700,000660
276360,69,2017-04-12,48800,49200,48550,49000,1694663,82702802520,000660
276361,70,2017-04-13,49100,50200,48650,49750,2367158,117065730550,000660
276362,71,2017-04-14,49750,50700,49450,49800,2845128,142925017950,000660
276363,72,2017-04-17,50200,50300,49100,49200,2002100,98909188600,000660
276364,73,2017-04-18,49600,50400,49300,50200,1899560,94570762700,000660
276365,74,2017-04-19,50300,50400,49850,49850,1587172,79511141720,000660
276366,75,2017-04-20,49750,51700,49700,51400,3573280,181798039360,000660
276367,76,2017-04-21,51800,52500,51300,52000,3834454,199520369450,000660
276368,77,2017-04-24,52700,53200,52100,52400,3158545,165871353900,000660
276369,78,2017-04-25,52800,52800,51300,52400,5312931,276789790000,000660
276370,79,2017-04-26,53100,54200,53000,53700,5609007,301324293700,000660
276371,80,2017-04-27,53800,53900,52700,53600,2743963,146919400400,000660
276372,81,2017-04-28,53600,54700,53400,54000,3573387,192751131700,000660
276373,82,2017-05-02,55300,55900,54800,55400,4347745,240956691700,000660
276374,83,2017-05-04,55900,55900,55000,55900,2780438,154745815500,000660
276375,84,2017-05-08,56000,57000,55700,56900,3818771,215785460500,000660
276376,85,2017-05-10,57400,58100,55200,55600,4766870,269366241500,000660
276377,86,2017-05-11,56000,56400,54800,56400,3509393,196024200280,000660
276378,87,2017-05-12,56400,56400,55100,55300,2303244,128048287170,000660
276379,88,2017-05-15,55300,56100,55300,55600,1542366,85739612600,000660
276380,89,2017-05-16,56200,56800,55200,55300,2546047,142368617400,000660
276381,90,2017-05-17,55400,55700,54400,54700,2485465,136384483800,000660
276382,91,2017-05-18,53600,55700,53400,55700,3494997,190530143100,000660
276383,92,2017-05-19,55100,55600,54200,54200,2860160,156511803720,000660
276384,93,2017-05-22,54900,56000,54800,56000,2544180,140824387200,000660
276385,94,2017-05-23,56400,56500,55000,55100,2410542,133653961100,000660
276386,95,2017-05-24,55700,56500,55600,55800,2324952,130096705400,000660
276387,96,2017-05-25,56400,56400,55400,55800,1996135,111865587400,000660
276388,97,2017-05-26,56000,57100,56000,57100,3145737,178594395600,000660
276389,98,2017-05-29,57700,58800,57100,57900,3294700,191428238700,000660
276390,99,2017-05-30,58200,58400,56600,57400,2368225,135611819000,000660
